ID_Vuelo,Aerolinea,Origen,Destino,Fecha_Programada,Hora_Salida_UTC,Tipo_Avion,Capacidad_Pasajeros,Pasajeros_Reservados,Distancia_KM,Clase_Tarifa,Costo_Base,Impuestos
LA3668,AeroSky,MIA,LIM,2025-09-18,19:00,A320,180,108,555,Económica,357.71,61.49
DL4698,FlyFast,MIA,LIM,2025-11-01,09:00,A320,180,126,3756,Económica,433.76,70.13
IB5191,AirCorp,MIA,CDG,2025-03-01,21:00,B787,300,197,2772,Negocios,1170.23,158.83
LA813,FlyFast,FRA,LIM,2025-03-23,16:00,B787,300,205,5167,Económica,542.34,87.67
AA6729,AirCorp,LIM,MIA,2025-03-14,18:00,B737,210,202,1354,Negocios,2338.5,270.31
LA267,FlyFast,MIA,CDG,2025-02-18,17:30,A380,550,465,2923,Negocios,1094.36,216.35
DL2998,GlobalAir,BUE,CDG,2025-02-18,22:30,B787,300,244,4035,Primera,4437.59,454.07
DL9706,AeroSky,JFK,BUE,2025-03-14,09:00,B737,210,190,3442,Primera,6042.77,788.96
DL5999,AirCorp,SCL,CDG,2025-01-03,13:30,A320,180,167,3471,Primera,5791.26,778.61
DL2852,AirCorp,BUE,SCL,2025-07-09,17:00,B737,210,179,3567,Primera,5700.06,410.36
DL5833,FlyFast,JFK,MAD,2025-10-11,04:00,A320,180,166,504,Primera,3348.41,793.41
IB748,FlyFast,SCL,BUE,2025-08-31,11:30,B737,210,147,3312,Económica,571.76,58.78
LA8469,FlyFast,FRA,JFK,2025-04-24,01:00,A380,550,545,2352,Primera,5301.73,328.7
AA720,AirCorp,MIA,FRA,2025-12-18,08:00,A380,550,452,2140,Primera,6443.1,756.42
IB7018,GlobalAir,SCL,BUE,2025-09-28,08:30,B737,210,209,3268,Negocios,1602.96,242.03
IB3529,AirCorp,CDG,LIM,2025-09-14,20:30,A320,180,166,2464,Económica,183.05,74.01
AA7846,AeroSky,MAD,FRA,2025-11-29,13:00,A380,550,351,5421,Económica,164.86,88.06
LA7155,AirCorp,BUE,LIM,2025-03-08,06:00,B737,210,173,941,Negocios,1182.64,295.49
AA2679,FlyFast,CDG,JFK,2025-12-22,13:00,B737,210,173,3268,Primera,5384.68,523.12
IB6152,AeroSky,SCL,BUE,2025-11-07,17:00,B787,300,278,9745,Económica,516.23,55.53
AA4273,GlobalAir,MIA,BUE,2025-06-17,07:00,B737,210,147,1841,Negocios,1600.65,107.09
LA2177,AirCorp,SCL,MAD,2025-11-21,05:00,B787,300,267,7994,Negocios,833.54,123.94
IB348,AeroSky,MIA,MAD,2025-03-02,15:00,A380,550,478,4049,Económica,318.97,91.73
LA2188,GlobalAir,LIM,MIA,2025-08-17,16:00,A320,180,149,618,Primera,4254.03,525.74
LA2015,AeroSky,CDG,JFK,2025-04-12,16:30,A320,180,129,2565,Económica,577.56,66.7
AA5152,AeroSky,CDG,FRA,2025-01-03,23:30,A320,180,127,1734,Económica,533.56,95.87
IB6365,AirCorp,JFK,MAD,2025-05-07,06:00,A320,180,138,1713,Negocios,1404.88,208.28
AA3446,AeroSky,CDG,FRA,2025-05-22,02:30,B737,210,154,967,Negocios,907.97,192.96
IB695,GlobalAir,SCL,BUE,2025-12-17,14:30,A380,550,411,8648,Primera,7988.35,421.99
IB1774,FlyFast,BUE,FRA,2025-06-26,01:00,A380,550,438,2084,Negocios,2277.64,296.85
AA4472,AirCorp,JFK,BUE,2025-05-07,08:30,B737,210,149,3615,Económica,274.31,76.53
DL2537,GlobalAir,MAD,SCL,2025-04-24,10:00,A380,550,538,3464,Económica,575.38,90.92
IB836,AirCorp,CDG,SCL,2025-12-12,06:30,A380,550,331,5559,Primera,4505.11,712.97
DL1343,AeroSky,MAD,CDG,2025-12-03,11:00,A380,550,334,8975,Económica,542.31,93.07
